source-bank,target-swiftcode
SOCIETE GENERALE,SOGEJPJTXXX
BANK URAL FD,JSCORU4PXXX
CAPITAL MERCHANT BANK,ACAERUMMXXX
GOLDMAN  SACHS AND CO.,GOLDUS33GCS
SBI SUMISHIN NET BANK  LTD.,NTSSJPJTXXX
SOCRAM BANQUE,SORMFR2NXXX
CAISSE D'EPARGNE DE BRETAGNE,CEPAFRPP222
UNION NATIONAL BANK-EGYPT S.A.E.,ALECEGALCAI
HSBC FRANCE,CCFRFRPP222
GOLDMAN  SACHS AND CO.,GOLDUS33XXX
MIZUHO CORPORATE BANK LTD. PARIS BRANCH,MHCBFRPPXXX
BANQUE D'ESCOMPTE,ESCBFRPPBDF
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44LPH
BANQUE POPULAIRE VAL DE FRANCE,CCBPFRPPVER
NATIXIS,CCBPFRPPXXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZALXXX
BANQUE DU MAGHREB ARABE POUR L'INVESTISSEMENT ET LE COMMERCE,BMICDZALXXX
COMPAGNIE FINANCIERE EDMOND DE ROTHSCHILD BANQUE  LA,COFIFRPPRAM
HSBC FRANCE,CCFRFRPPSWT
SOCIETE ARABE INTERNATIONALE DE BANQUE,SBNKEGCXASH
NATIONAL BANK FOR DEVELOPMENT,NBDEEGCXBRS
ABE CLEARING SAS/EBA CLEARING,EBAPFRPPBAS
BANCOLOMBIA S.A. MIAMI AGENCY,COLOUS33XXX
SOCIETE MARSEILLAISE DE CREDIT,SMCTFR2AVAL
THE GROUP SECURITIES,GRPSQAQAXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44OFC
COUNCIL OF EUROPE DEVELOPMENT BANK,CEFPFRPPXXX
EGYPTIAN GULF BANK,EGGBEGCAMOH
SHIGA BANK  LTD.  THE,SIGAJPJTXXX
CREDIT AGRICOLE CIB TOKYO BRANCH,BSUIJPJTCOM
BANQUE MISR,BMISEGCX381
BANQUE POPULAIRE D'ALSACE,CCBPFRPPSTR
COMPAGNIE DE FINANCEMENT FONCIER,CFFOFRPPSSS
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL020
CREDIT LYONNAIS,CRLYFRPPXXX
BANK OF INDIA,BKIDFRPPXXX
ARAB AFRICAN INTERNATIONAL BANK,ARAIEGCXGRD
FIRST GENERAL BANK,FGBCUS66XXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL060
CHINFON COMMERCIAL BANK,CFCBVNVXHN1
BANQUE INTERNATIONALE DE COMMERCE-BRED,BICFFRPPXXX
ARAB INTERNATIONAL BANK,ARIBEGCX003
CATHAY BANK,CATHUS6LNYC
COMMERZBANK AG,COBAFRPXXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44HLC
AS LTB BANK,LATCLV22XXX
INDUSTRIAL DEVELOPMENT AND WORKERS BANK OF EGYPT,DIBBEGCAXXX
ARAB INTERNATIONAL BANK,ARIBEGCXMOP
SOCIETE CENTRALE DE CREDIT MARITIME MUTUEL,CCBPFRPPMRT
TASWEEQ,TSWQQAQAXXX
F.B.F. (FORTIS BANQUE FRANCE),RUBBFRPPXXX
OKAZ STOCK BROKERS AND INVESTMENT CONSULTANTS,OSICEGCAXXX
EXANE S.A.,EXANFRPPXXX
SUEZ CANAL BANK,SUCAEGCXTAN
AVERY DENNISON CORPORATION,AVERUS66XXX
ARAB AFRICAN INTERNATIONAL BANK,ARAIEGCXALX
SKANDINAVISKA ENSKILDA BANKEN  PARIS BRANCH,ESSEFRPXXXX
SVENSKA HANDELSBANKEN AB,HANDFRPPXXX
SOCIETE MARSEILLAISE DE CREDIT,SMCTFR2AMAR
BRED BANQUE POPULAIRE,BREDFRPPKUS
HSBC FRANCE,CCFRFRPP330
AGRICULTURAL BANK OF CHINA NEW YORK BRANCH,ABOCUS33XXX
ARAB INVESTMENT BANK,AINBEGCAMAD
SUEZ CANAL BANK,SUCAEGCXMAD
BLOM BANK EGYPT S.A.E.,MRBAEGCXXXX
HSBC FRANCE,CCFRFRPP320
CANTOR FITZGERALD AND CO.,CANFUS33XXX
SOCIETE GENERALE,SOGEFRPPXXX
ABE CLEARING SAS/EBA CLEARING,EBAPFRPPPSA
DEXIA CREDIT LOCAL,CLFRFRCCXXX
NATIXIS,NATXFRPPXXX
AMERICAN INTERNATIONAL GROUP GLOBAL INVESTMENT GROUP,AGIGUS33XXX
MERCEDES-BENZ FINANCIAL SERVICES,DFSDFR22XXX
ARAB INVESTMENT BANK,AINBEGCAMOH
ALWATANY BANK OF EGYPT,WABAEGCXALX
BNP PARIBAS EQUITIES FRANCE,DBZEFRPPSET
MISR IRAN DEVELOPMENT BANK,MIDBEGCXADL
FLUOR CORPORATION,FLURUS44XXX
DANONE FINANCE S.A.,DAFIFRPPXXX
INVESCO GESTION,INVZFRPPMDO
SAITAMA RESONA BANK  LIMITED,SAIBJPJTXXX
EUROMET BANK,EUMTRUMMXXX
CAISSE DES DEPOTS ET CONSIGNATIONS,CDCGFRPPCAC
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL077
FIRST MICROFINANCE BANK LTD.  THE,FMFBAFKAXXX
BANQUE DE L'AGRICULTURE ET DE DEVELOPPEMENT RURAL,BADRDZALXXX
HANOI BUILDING COMMERCIAL JOINT STOCK BANK,HBBHVNVNXXX
ART ET TECHNIQUES DU PROGRES,GRSRFR22XXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL081
EAST-EUROPEAN BANK FOR RECONSTRUCTION AND DEVELOPMENT,EEBARUMMXXX
NATIONAL BANK FOR DEVELOPMENT,NBDEEGCXMHD
BANQUE MISR - SUCCURSALE DE PARIS,BMISFRPPXXX
GOLDMAN SACHS ASSET MANAGEMENT,GSAMUS33XXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX215
BANK OF ALEXANDRIA S A E,ALEXEGCXXXX
SMBC NIKKO SECURITIES INC.,NKSCJPJTXXX
BANK OF OKINAWA  LTD.  THE,BOKIJPJZXXX
AMERICAN EXPRESS TRAVEL RELATED SERVICES CO. INC. (TRAVELERS CHEQUE  OPER.CTR.),AETCUS55XXX
UNION NATIONAL BANK-EGYPT S.A.E.,ALECEGALGLY
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,BDACEGCA047
ECOPROMBANK  JOINT-STOCK COMMERCIAL BANK,ECJORU4PXXX
CALYON (FORMERLY CREDIT LYONNAIS RUSBANK),CRLYRU2PMSC
CHELYABINVESTBANK,CHINRU4CMAG
NATIXIS,CCBPFRPPFMP
BFT - BANQUE DE FINANCEMENT ET DE TRESORERIE SA,BFTRFRPPGES
FINANCIAL STANDARD CB OOO,COLDRUMMXXX
LA BANQUE POSTALE,PSSTFRPPBOR
BANQUE ESPIRITO SANTO ET DE LA VENETIE,BESVFRPPXXX
ARAB BANKING CORPORATION EGYPT,EAABEGCX010
DOLINSK BANK,DOLIRU8YXXX
EGYPTIAN ARAB LAND BANK,ARLBEGCAMOF
BANQUE MISR,BMISEGCX155
DEUTSCHE BANK AG,DEUTFRPPSSS
BLOM BANK EGYPT S.A.E.,MRBAEGCX011
COSMO SECURITIES CO. LTD.,COSSJPJTXXX
BYBLOS BANK EUROPE S.A. (PARIS BRANCH),BYBBFRPPXXX
EGYPTIAN KUWAITI SECURITIES COMPANY,EGKUEGCAXXX
AIB BANK,AIBKUS3TXXX
BANK INVESTBANK -CENTRAL' BRANCH,CONVRUMMXXX
ARAB INVESTMENT BANK,AINBEGCAALX
JSC CITADELE BANKA,PARXLV22XXX
NATIONAL SOCIETE GENERALE BANK S.A.E.,NSGBEGCXXXX
BANK OF ALEXANDRIA S A E,ALEXEGCX001
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL025
RIETUMU BANKA,RTMBLV2XXXX
CATHAY UNITED BANK  LOS ANGELES AGENCY DBA CUBT,UWCBUS6LXXX
BORAK SECURITIES COMPANY,BORAEGCAXXX
FISCHER FRANCIS TREES AND WATTS INC.,FFTWUS33XXX
SUEZ CANAL BANK,SUCAEGCXNSR
DEPOSITORY CLEARING COMPANY,DCLCRUMMXXX
FIRSTMERIT BANK N.A.,FNBAUS3AXXX
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,BDACEGCA013
NATIXIS,CCBPFRPPSEC
NATIXIS LEASE,CCBPFRPPLES
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX150
BANK OF ALEXANDRIA S A E,ALEXEGCX004
FISHER INVESTMENTS,FSHRUS66XXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX691
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL032
SUEZ CANAL BANK,SUCAEGCXSUZ
BANQUE TARNEAUD,TARNFR2LXXX
CLF BANQUE,CLBQFRCCXXX
UNION NATIONAL BANK-EGYPT S.A.E.,ALECEGALNCT
BARCLAYS BANK - EGYPT S.A.E.,BCBIEGCX005
GOLDEN SHARE SECURITIES,GSHSEGCAXXX
GLOBAL CAPITAL,GLBCEGCAXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX631
BANK OF KAZAN  KBER  OOO,KABORU2KXXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL093
BOURSE DIRECT SA,BDIRFRPPXXX
ALLIANCEBERNSTEIN JAPAN LTD,ALCAJPJXXXX
CPI,CPIIFRPPXXX
CENTRAL COMMERCIAL BANK,CBBCRUMMXXX
CNCE GESTITRES,SDBFFRPPXXX
BANK OF KHANTY-MANSIYSK OAO,KHANRUMM015
SHINKIN CENTRAL BANK,ZENBJPJTXXX
BANCO BILBAO VIZCAYA ARGENTARIA  NEW YORK,BBVAUS33IBF
FAISAL ISLAMIC BANK OF EGYPT,FIEGEGCXXXX
BANQUE DE BRETAGNE,BDEBFR2RXXX
KEPLER CAPITAL MARKETS,JBBRFRPPXXX
BANQUE MICHEL INCHAUSPE - BAMI,BAMYFR22XXX
SUEZ CANAL BANK,SUCAEGCXOCT
BFA BANK,PETKRU2PXXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL042
SUMITOMO TRUST AND BANKING COMPANY  LTD.  THE,STBCJPJTCLS
AFGAN UNITED BANK,AFGUAFKAXXX
HSBC FRANCE,CCFRFRPP280
PRIME SECURITIES BROKERAGE CO.,PSBREGCAXXX
EXPRESS-CREDIT BANK,EXCBRUMMXXX
AMB BANK JSC,RBKBRUMMXXX
CIBC WORLD MARKETS CORP.,OPCOUS33XXX
ALCOA INC.,ALUMUS33XXX
BANK OF AMERICA  N.A.,BOFAUS3DSG3
BANCOMER TRANSFER SERVICES INC.,BTSIUS44BTS
HOUSING AND DEVELOPMENT BANK,HDBKEGCAZAM
BANQUE DE GESTION PRIVEE-SIB,SIBLFRPPOEM
COMMERCIAL BANK -LANTA-BANK',COLKRUMMKBB
EUROCLEAR FRANCE,ECLNFRPPLL1
FAISAL ISLAMIC BANK OF EGYPT,FIEGEGCXDOK
ABBEY NATIONAL TREASURY SERVICES LTD US BRANCH,ANTSUS33XXX
BANQUE ESPIRITO SANTO ET DE LA VENETIE,BESVFRPPYBF
BANQUE MARTIN-MAUREL,BMMMFR2AXXX
EGYPTIAN ARAB LAND BANK,ARLBEGCAOCT
CAISSE D'EPARGNE COTE D'AZUR,CEPAFRPP831
ACI CAPITAL GROUP  LLC,ACIXUS33XXX
BANCA REGIONALE EUROPEA S.P.A.,BREUFR22XXX
ARAB AFRICAN INTERNATIONAL BANK,ARAIEGCXDOC
BALTINVESTBANK OAO,UNEBRU2PXXX
FAISAL ISLAMIC BANK OF EGYPT,FIEGEGCXMNS
ARAB INVESTMENT BANK,AINBEGCAFSL
ABN AMRO BANK N.V.  HANOI BRANCH,ABNAVNV5XXX
SUEZ CANAL BANK,SUCAEGCXXXX
HSBC BANK (VIETNAM) LTD.,HSBCVNVXXXX
BPCE,BPCEFRPPXXX
ARAB BANK PLC,ARABEGCXHEL
ASIA COMMERCIAL BANK,ASCBVNVXXXX
BNP PARIBAS LE CAIRE,BNPAEGCXALX
COFACREDIT,COFEFR2PXXX
CREDIT DU NORD,NORDFRPPXXX
LOMBARD ODIER DARIER HENTSCH AND CIE (FRANCE) SA,LOCYFRPPXXX
BANK OF KYOTO LTD. THE,BOKFJPJZXXX
SAMBA TADAWOL MISR BROKERAGE,STMPEGCAXXX
EL OROUBA BROKERAGE FIRM,OROUEGCAXXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL047
BTA BANK LLS,ITASRUMMXXX
EGYPTIAN SAUDI FINANCE BANK,TAMSEGCAFSL
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,BFTVVNVX004
GE CORPORATE FINANCE BANK,CRFAFRPPXXX
ENERGOBANK,TRCBRU2KXXX
BANK BCC-MOSCOW,BCCMRUMMXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX135
ING BELGIUM S.A.  SUCCURSALE EN FRANCE,INGBFRPPXXX
BLOM BANK EGYPT S.A.E.,MRBAEGCX005
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL079
HSBC FRANCE,CCFRFRPP024
GOLDMAN  SACHS AND CO.,GOLDUS33007
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX130
AHLI UNITED BANK (EGYPT) S.A.E.,DEIBEGCX040
CAISSE D'EPARGNE DE BOURGOGNE FRANCHE-COMTE,CEPAFRPP213
RABOBANK SUCCURSALE DE PARIS,RABOFRPPXXX
GENWORTH LIFE INSURANCE COMPANY,GNWFUS33XXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX425
BANKE MILLIE AFGHAN,BMAFAFKAXXX
CREDIT COMMERCIAL DU SUD-OUEST,CCBPFRPP555
NATIONAL BANK FOR DEVELOPMENT,NBDEEGCXHLI
GOLDMAN SACHS BANK USA (FORMERLY GOLDMAN SACHS CAPITAL MARKETS  L.P.),GSCMUS33XXX
KBL RICHELIEU BANQUE PRIVEE,KBLXFRPPXXX
ODDO ET CIE,ODDOFRPPOOP
DEUTSCHE SECURITIES INC.,DEUTJPJ9DOM
AOZORA BANK  LTD,NCBTJPJTXXX
SUEZ CANAL BANK,SUCAEGCXSDT
CENTRAL BANK OF EGYPT CAIRO,CBEGEGCXALX
BANQUE POPULAIRE BOURGOGNE FRANCHE COMTE,CCBPFRPPDJN
BLOM BANK EGYPT S.A.E.,MRBAEGCX002
AVM L.P.,IIIAUS33XXX
COMMERCIAL BANK MAST BANK (JOINT STOCK COMPANY),CMASRUMMXXX
SEB BANKA,UNLALV2XXXX
BANK OF ALEXANDRIA S A E,ALEXEGCX005
COMMERCIAL BANK -LANTA-BANK',COLKRUMMNSB
EXANE S.A.,EXANFRPPSAM
NATIONAL BANK FOR DEVELOPMENT,NBDEEGCXBLQ
CREDIT AGRICOLE CIB,BSUIFRPPMAR
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL041
BLOM BANK EGYPT S.A.E.,MRBAEGCX019
BRAC AFGHANISTAN BANK,BABAAFKAXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44FDL
EGYPTIAN GULF BANK,EGGBEGCAALX
SUEZ CANAL BANK,SUCAEGCXOBR
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL048
ECONOMBANK ZAO,BRECRU2SXXX
STATE STREET BANK AND TRUST COMPANY,SBOSJPJXXXX
AS -PRIVATBANK',PRTTLV22XXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX721
EGYPTIAN SAUDI FINANCE BANK,TAMSEGCATKY
BANK MELLI IRAN ZAO,MELIRUMMXXX
BANQUE POPULAIRE PROVENCALE ET CORSE,CCBPFRPPMAR
CITIBANK N.A.,CITIVNVXXXX
STATE BANK OF INDIA  PARIS BRANCH,SBINFRPPXXX
DEUTSCHE BANK AG,DEUTQAQAXXX
EGYPTIAN ARAB LAND BANK,ARLBEGCAPOR
HSBC FRANCE,CCFRFRPP151
PROCAPITAL SA,PROCFRPPPCB
NATIONAL BANK OF ABU DHABI,NBADEGCAHUR
SUEZ CANAL BANK,SUCAEGCXGIZ
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX611
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44ACI
ARAB JORDAN INVESTMENT BANK (QATAR) LLC,AJIBQAQAXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX351
BANQUE SBA,SBAAFRPPXXX
AHLI UNITED BANK (EGYPT) S.A.E.,DEIBEGCX075
BANK BFT,BFTFRUMMXXX
SUGAMO SHINKIN BANK  THE,SSHBJPJTXXX
ARAB BANK PLC,ARABEGCXALX
BANK MONETNY DOM,MECLRU4CXXX
BANK OF CHINA,BKCHJPJTXXX
LA BANQUE POSTALE,PSSTFRPPMON
BANGKOK BANK PUBLIC COMPANY LTD.,BKKBJPJTXXX
BANK OF CHINA  PARIS BRANCH,BKCHFRPP013
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX432
FIDELITY SERVICE CO,FIDQUS3BINV
BLOM BANK EGYPT S.A.E.,MRBAEGCX017
BNP PARIBAS S.A. - TOKYO BRANCH,BNPAJPJTXXX
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,BFTVVNVX035
LA BANQUE POSTALE,PSSTFRPPMAR
SHINWA BANK  LTD. THE,SHWAJPJTXXX
ELBIN BANK,ELBIRU22XXX
APTAR GROUP SAS,APTAFRPPXXX
CM - CIC BANQUES,CMCIFRPPXXX
ACCENTURE INSURANCE SERVICES,ACIVFRPPXXX
BANK OF TOKYO-MITSUBISHI UFJ (EURASIA) ZAO,BOTKRUMMXXX
CENTRAL BANK OF EGYPT CAIRO,CBEGEGCAPRT
EUROPEAN FUND ADMINISTRATION FRANCE S.A.S,EFALFRPPACC
NATIXIS,CCBPFRPP934
BANQUE AIG  PARIS HEAD OFFICE,AIGAFRPPXXX
FAISAL ISLAMIC BANK OF EGYPT,FIEGEGCXMHL
AVTOGRADBANK,AVGRRU22XXX
LA BANQUE POSTALE,PSSTFRPPTOU
CAISSE DES DEPOTS ET CONSIGNATIONS,CDCGFRPPOAC
EUROCLEAR FRANCE SA,ESESFRPPLE1
HOUSING DEVELOPMENT COMMERCIAL J.S. BANK - HCMC,HDBCVNVXXXX
SOCIETE GENERALE PRIVATE BANKING (JAPAN) LTD.,SGTBJPJTKEY
CREDIT AGRICOLE CIB,BSUIFRPPDMA
AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD.,ANZBUS33XXX
ARAB BANK PLC,ARABEGCXCOU
EGYPTIAN SAUDI FINANCE BANK,TAMSEGCASOM
AHLI UNITED BANK (EGYPT) S.A.E.,DEIBEGCX319
NATIXIS,CCBPFRPP924
BANQUE EXTERIEURE D'ALGERIE,BEXADZALDRI
ALNOURAN BROKERAGE AND SECURITIES,NOBSEGCAXXX
