source-Field,target-Laureate
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Chemistry,Richard Adolf Zsigmondy•Ŕ_
Literature,George Bernard Shaw•Ŕ_
Physics,Gustav Ludwig Hertz•Ŕ_
Physics,James Franck•Ŕ_
Medicine,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
The Nobel Peace Prize,Charles Gates Dawes•Ŕ_
The Nobel Peace Prize,Sir Austen Chamberlain•Ŕ_
Chemistry,The (Theodor) Svedberg•Ŕ_
Literature,Grazia Deledda•Ŕ_
Physics,Jean Baptiste Perrin•Ŕ_
Medicine,Johannes Andreas Grib Fibiger•Ŕ_
The Nobel Peace Prize,Aristide Briand•Ŕ_
The Nobel Peace Prize,Gustav Stresemann•Ŕ_
Chemistry,Heinrich Otto Wieland•Ŕ_
Literature,Henri Bergson•Ŕ_
Physics,Arthur Holly Compton•Ŕ_
Physics,Charles Thomson Rees Wilson•Ŕ_
Medicine,Julius Wagner-Jauregg•Ŕ_
The Nobel Peace Prize,Ferdinand Buisson•Ŕ_
The Nobel Peace Prize,Ludwig Quidde•Ŕ_
Chemistry,Adolf Otto Reinhold Windaus•Ŕ_
Literature,Sigrid Undset•Ŕ_
Physics,Owen Willans Richardson•Ŕ_
Medicine,Charles Jules Henri Nicolle•Ŕ_
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Chemistry,Arthur Harden•Ŕ_
Chemistry,Hans Karl August Simon von Euler-Chelpin•Ŕ_
Literature,Thomas Mann•Ŕ_
Physics,Prince Louis-Victor Pierre Raymond de Broglie•Ŕ_
Medicine,Christiaan Eijkman•Ŕ_
Medicine,Sir Frederick Gowland Hopkins•Ŕ_
The Nobel Peace Prize,Frank Billings Kellogg•Ŕ_
Chemistry,Hans Fischer•Ŕ_
Literature,Sinclair Lewis•Ŕ_
Physics,Sir Chandrasekhara Venkata Raman•Ŕ_
Medicine,Karl Landsteiner•Ŕ_
The Nobel Peace Prize,Lars Olof Jonathan (Nathan) S•Ŕ_derblom•Ŕ_
Chemistry,Carl Bosch•Ŕ_
Chemistry,Friedrich Bergius•Ŕ_
Literature,Erik Axel Karlfeldt•Ŕ_
Physics,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Medicine,Otto Heinrich Warburg•Ŕ_
The Nobel Peace Prize,Jane Addams•Ŕ_
The Nobel Peace Prize,Nicholas Murray Butler•Ŕ_
Chemistry,Irving Langmuir•Ŕ_
Literature,John Galsworthy•Ŕ_
Physics,Werner Karl Heisenberg•Ŕ_
Medicine,Edgar Douglas Adrian•Ŕ_
Medicine,Sir Charles Scott Sherrington•Ŕ_
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Chemistry,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Literature,Ivan Alekseyevich Bunin•Ŕ_
Physics,Erwin Schr•Ŕ_dinger•Ŕ_
Physics,Paul Adrien Maurice Dirac•Ŕ_
Medicine,Thomas Hunt Morgan•Ŕ_
The Nobel Peace Prize,Sir Norman Angell (Ralph Lane)•Ŕ_
Chemistry,Harold Clayton Urey•Ŕ_
Literature,Luigi Pirandello•Ŕ_
Physics,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Medicine,George Hoyt Whipple•Ŕ_
Medicine,George Richards Minot•Ŕ_
Medicine,William Parry Murphy•Ŕ_
The Nobel Peace Prize,Arthur Henderson•Ŕ_
Chemistry,Fr•Ŕ_d•Ŕ_ric Joliot•Ŕ_
Chemistry,Ir•Ŕ_ne Joliot-Curie•Ŕ_
Literature,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Physics,James Chadwick•Ŕ_
Medicine,Hans Spemann•Ŕ_
The Nobel Peace Prize,Carl von Ossietzky•Ŕ_
Chemistry,Petrus (Peter) Josephus Wilhelmus Debye•Ŕ_
Literature,Eugene Gladstone O'Neill•Ŕ_
Physics,Carl David Anderson•Ŕ_
Physics,Victor Franz Hess•Ŕ_
Medicine,Otto Loewi•Ŕ_
Medicine,Sir Henry Hallett Dale•Ŕ_
The Nobel Peace Prize,Carlos Saavedra Lamas•Ŕ_
Chemistry,Paul Karrer•Ŕ_
Chemistry,Walter Norman Haworth•Ŕ_
Literature,Roger Martin du Gard•Ŕ_
Physics,Clinton Joseph Davisson•Ŕ_
Physics,George Paget Thomson•Ŕ_
Medicine,Albert von Szent-Gy•Ŕ_rgyi Nagyr•Ŕ_polt•Ŕ_
The Nobel Peace Prize,Cecil of Chelwood Viscount (Lord Edgar Algernon Robert Gascoyne Cecil)•Ŕ_
Chemistry,Richard Kuhn•Ŕ_
Literature,Pearl Buck•Ŕ_
Physics,Enrico Fermi•Ŕ_
Medicine,Corneille Jean Fran•Ŕ_ois Heymans•Ŕ_
The Nobel Peace Prize,Office international Nansen pour les R•Ŕ_fugi•Ŕ_s (Nansen International Office for Refugees)•Ŕ_
Chemistry,Adolf Friedrich Johann Butenandt•Ŕ_
Chemistry,Leopold Ruzicka•Ŕ_
Literature,Frans Eemil Sillanp•Ŕ_•Ŕ_•Ŕ_
Physics,Ernest Orlando Lawrence•Ŕ_
Medicine,Gerhard Domagk•Ŕ_
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Chemistry,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Literature,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Physics,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Medicine,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Chemistry,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Literature,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Physics,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Medicine,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Chemistry,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Literature,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Physics,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Medicine,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Chemistry,George de Hevesy•Ŕ_
Literature,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Physics,Otto Stern•Ŕ_
Medicine,Edward Adelbert Doisy•Ŕ_
Medicine,Henrik Carl Peter Dam•Ŕ_
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Chemistry,Otto Hahn•Ŕ_
Literature,Johannes Vilhelm Jensen•Ŕ_
Physics,Isidor Isaac Rabi•Ŕ_
Medicine,Herbert Spencer Gasser•Ŕ_
Medicine,Joseph Erlanger•Ŕ_
The Nobel Peace Prize,Comit•Ŕ_ international de la Croix Rouge (International Committee of the Red Cross)•Ŕ_
Chemistry,Artturi Ilmari Virtanen•Ŕ_
Literature,Gabriela Mistral•Ŕ_
Physics,Wolfgang Pauli•Ŕ_
Medicine,Ernst Boris Chain•Ŕ_
Medicine,Sir Alexander Fleming•Ŕ_
Medicine,Sir Howard Walter Florey•Ŕ_
The Nobel Peace Prize,Cordell Hull•Ŕ_
Chemistry,James Batcheller Sumner•Ŕ_
Chemistry,John Howard Northrop•Ŕ_
Chemistry,Wendell Meredith Stanley•Ŕ_
Literature,Hermann Hesse•Ŕ_
Physics,Percy Williams Bridgman•Ŕ_
Medicine,Hermann Joseph Muller•Ŕ_
The Nobel Peace Prize,Emily Greene Balch•Ŕ_
The Nobel Peace Prize,John Raleigh Mott•Ŕ_
Chemistry,Sir Robert Robinson•Ŕ_
Literature,Andr•Ŕ_ Paul Guillaume Gide•Ŕ_
Physics,Sir Edward Victor Appleton•Ŕ_
Medicine,Bernardo Alberto Houssay•Ŕ_
Medicine,Carl Ferdinand Cori•Ŕ_
Medicine,Gerty Theresa Cori n•Ŕ_e Radnitz•Ŕ_
The Nobel Peace Prize,American Friends Service Committee (The Quakers)•Ŕ_
The Nobel Peace Prize,Friends Service Council (The Quakers)•Ŕ_
Chemistry,Arne Wilhelm Kaurin Tiselius•Ŕ_
Literature,Thomas Stearns Eliot•Ŕ_
Physics,Patrick Maynard Stuart Blackett•Ŕ_
Medicine,Paul Hermann M•Ŕ_ller•Ŕ_
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Chemistry,William Francis Giauque•Ŕ_
Literature,William Faulkner•Ŕ_
Physics,Hideki Yukawa•Ŕ_
Medicine,Antonio Caetano de Abreu Freire Egas Moniz•Ŕ_
Medicine,Walter Rudolf Hess•Ŕ_
The Nobel Peace Prize,Lord (John) Boyd Orr of Brechin•Ŕ_
Chemistry,Kurt Alder•Ŕ_
Chemistry,Otto Paul Hermann Diels•Ŕ_
Literature,Earl (Bertrand Arthur William) Russell•Ŕ_
Physics,Cecil Frank Powell•Ŕ_
Medicine,Edward Calvin Kendall•Ŕ_
Medicine,Philip Showalter Hench•Ŕ_
Medicine,Tadeus Reichstein•Ŕ_
The Nobel Peace Prize,Ralph Bunche•Ŕ_
Chemistry,Edwin Mattison McMillan•Ŕ_
Chemistry,Glenn Theodore Seaborg•Ŕ_
Literature,P•Ŕ_r Fabian Lagerkvist•Ŕ_
Physics,Ernest Thomas Sinton Walton•Ŕ_
Physics,Sir John Douglas Cockcroft•Ŕ_
Medicine,Max Theiler•Ŕ_
The Nobel Peace Prize,L•Ŕ_on Jouhaux•Ŕ_
Chemistry,Archer John Porter Martin•Ŕ_
Chemistry,Richard Laurence Millington Synge•Ŕ_
Literature,Fran•Ŕ_ois Mauriac•Ŕ_
Physics,Edward Mills Purcell•Ŕ_
Physics,Felix Bloch•Ŕ_
Medicine,Selman Abraham Waksman•Ŕ_
The Nobel Peace Prize,Albert Schweitzer•Ŕ_
Chemistry,Hermann Staudinger•Ŕ_
Literature,Sir Winston Leonard Spencer Churchill•Ŕ_
Physics,Frits Zernike•Ŕ_
Medicine,Fritz Albert Lipmann•Ŕ_
Medicine,Hans Adolf Krebs•Ŕ_
The Nobel Peace Prize,George Catlett Marshall•Ŕ_
Chemistry,Linus Carl Pauling•Ŕ_
Literature,Ernest Miller Hemingway•Ŕ_
Physics,Max Born•Ŕ_
Physics,Walther Bothe•Ŕ_
Medicine,Frederick Chapman Robbins•Ŕ_
Medicine,John Franklin Enders•Ŕ_
Medicine,Thomas Huckle Weller•Ŕ_
The Nobel Peace Prize,Office of the United Nations High Commissioner for Refugees (UNHCR)•Ŕ_
Chemistry,Vincent du Vigneaud•Ŕ_
Literature,Halld•Ŕ_r Kiljan Laxness•Ŕ_
Physics,Polykarp Kusch•Ŕ_
Physics,Willis Eugene Lamb•Ŕ_
Medicine,Axel Hugo Theodor Theorell•Ŕ_
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Chemistry,Nikolay Nikolaevich Semenov•Ŕ_
Chemistry,Sir Cyril Norman Hinshelwood•Ŕ_
Literature,Juan Ram•Ŕ_n Jim•Ŕ_nez•Ŕ_
Physics,John Bardeen•Ŕ_
Physics,Walter Houser Brattain•Ŕ_
Physics,William Bradford Shockley•Ŕ_
Medicine,Andr•Ŕ_ Fr•Ŕ_d•Ŕ_ric Cournand•Ŕ_
Medicine,Dickinson W. Richards•Ŕ_
Medicine,Werner Forssmann•Ŕ_
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Chemistry,Lord (Alexander R.) Todd•Ŕ_
Literature,Albert Camus•Ŕ_
Physics,Chen Ning Yang•Ŕ_
Physics,Tsung-Dao (T.D.) Lee•Ŕ_
Medicine,Daniel Bovet•Ŕ_
The Nobel Peace Prize,Lester Bowles Pearson•Ŕ_
Chemistry,Frederick Sanger•Ŕ_
Literature,Boris Leonidovich Pasternak•Ŕ_
Physics,Igor Yevgenyevich Tamm•Ŕ_
Physics,Il•Ŕ_ja Mikhailovich Frank•Ŕ_
Physics,Pavel Alekseyevich Cherenkov•Ŕ_
Medicine,Edward Lawrie Tatum•Ŕ_
Medicine,George Wells Beadle•Ŕ_
Medicine,Joshua Lederberg•Ŕ_
The Nobel Peace Prize,Georges Pire•Ŕ_
Chemistry,Jaroslav Heyrovsky•Ŕ_
Literature,Salvatore Quasimodo•Ŕ_
Physics,Emilio Gino Segr•Ŕ_•Ŕ_
Physics,Owen Chamberlain•Ŕ_
Medicine,Arthur Kornberg•Ŕ_
Medicine,Severo Ochoa•Ŕ_
The Nobel Peace Prize,Philip J. Noel-Baker•Ŕ_
Chemistry,Willard Frank Libby•Ŕ_
Literature,Saint-John Perse•Ŕ_
Physics,Donald Arthur Glaser•Ŕ_
Medicine,Peter Brian Medawar•Ŕ_
Medicine,Sir Frank Macfarlane Burnet•Ŕ_
The Nobel Peace Prize,Albert John Lutuli•Ŕ_
Chemistry,Melvin Calvin•Ŕ_
Literature,Ivo Andric•Ŕ_
Physics,Robert Hofstadter•Ŕ_
Physics,Rudolf Ludwig M•Ŕ_ssbauer•Ŕ_
Medicine,Georg von B•Ŕ_k•Ŕ_sy•Ŕ_
The Nobel Peace Prize,Dag Hjalmar Agne Carl Hammarskj•Ŕ_ld•Ŕ_
Chemistry,John Cowdery Kendrew•Ŕ_
Chemistry,Max Ferdinand Perutz•Ŕ_
Literature,John Steinbeck•Ŕ_
Physics,Lev Davidovich Landau•Ŕ_
Medicine,Francis Harry Compton Crick•Ŕ_
Medicine,James Dewey Watson•Ŕ_
Medicine,Maurice Hugh Frederick Wilkins•Ŕ_
The Nobel Peace Prize,Linus Carl Pauling•Ŕ_
Chemistry,Giulio Natta•Ŕ_
Chemistry,Karl Ziegler•Ŕ_
Literature,Giorgos Seferis•Ŕ_
Physics,Eugene Paul Wigner•Ŕ_
Physics,J. Hans D. Jensen•Ŕ_
Physics,Maria Goeppert Mayer•Ŕ_
Medicine,Alan Lloyd Hodgkin•Ŕ_
Medicine,Andrew Fielding Huxley•Ŕ_
Medicine,Sir John Carew Eccles•Ŕ_
The Nobel Peace Prize,Comit•Ŕ_ international de la Croix Rouge (International Committee of the Red Cross)•Ŕ_
The Nobel Peace Prize,Ligue des Soci•Ŕ_t•Ŕ_s de la Croix-Rouge (League of Red Cross Societies)•Ŕ_
Chemistry,Dorothy Crowfoot Hodgkin•Ŕ_
Literature,Jean-Paul Sartre•Ŕ_
Physics,Aleksandr Mikhailovich Prokhorov•Ŕ_
Physics,Charles Hard Townes•Ŕ_
Physics,Nicolay Gennadiyevich Basov•Ŕ_
Medicine,Feodor Lynen•Ŕ_
Medicine,Konrad Bloch•Ŕ_
The Nobel Peace Prize,Martin Luther King Jr.•Ŕ_
Chemistry,Robert Burns Woodward•Ŕ_
Literature,Mikhail Aleksandrovich Sholokhov•Ŕ_
Physics,Julian Schwinger•Ŕ_
Physics,Richard P. Feynman•Ŕ_
Physics,Sin-Itiro Tomonaga•Ŕ_
Medicine,Andr•Ŕ_ Lwoff•Ŕ_
Medicine,Fran•Ŕ_ois Jacob•Ŕ_
Medicine,Jacques Monod•Ŕ_
The Nobel Peace Prize,United Nations Children's Fund (UNICEF)•Ŕ_
Chemistry,Robert S. Mulliken•Ŕ_
Literature,Nelly Sachs•Ŕ_
Literature,Shmuel Yosef Agnon•Ŕ_
Physics,Alfred Kastler•Ŕ_
Medicine,Charles Brenton Huggins•Ŕ_
Medicine,Peyton Rous•Ŕ_
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Chemistry,George Porter•Ŕ_
Chemistry,Manfred Eigen•Ŕ_
Chemistry,Ronald George Wreyford Norrish•Ŕ_
Literature,Miguel Angel Asturias•Ŕ_
Physics,Hans Albrecht Bethe•Ŕ_
Medicine,George Wald•Ŕ_
Medicine,Haldan Keffer Hartline•Ŕ_
Medicine,Ragnar Granit•Ŕ_
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
Chemistry,Lars Onsager•Ŕ_
Literature,Yasunari Kawabata•Ŕ_
Physics,Luis Walter Alvarez•Ŕ_
Medicine,Har Gobind Khorana•Ŕ_
Medicine,Marshall W. Nirenberg•Ŕ_
Medicine,Robert W. Holley•Ŕ_
The Nobel Peace Prize,Ren•Ŕ_ Cassin•Ŕ_
Chemistry,Derek H. R. Barton•Ŕ_
Chemistry,Odd Hassel•Ŕ_
Economic Sciences,Jan Tinbergen•Ŕ_
Economic Sciences,Ragnar Frisch•Ŕ_
Literature,Samuel Beckett•Ŕ_
Physics,Murray Gell-Mann•Ŕ_
Medicine,Alfred D. Hershey•Ŕ_
Medicine,Max Delbr•Ŕ_ck•Ŕ_
Medicine,Salvador E. Luria•Ŕ_
The Nobel Peace Prize,International Labour Organization (I.L.O.)•Ŕ_
Chemistry,Luis F. Leloir•Ŕ_
Economic Sciences,Paul A. Samuelson•Ŕ_
Literature,Aleksandr Isayevich Solzhenitsyn•Ŕ_
Physics,Hannes Olof G•Ŕ_sta Alfv•Ŕ_n•Ŕ_
Physics,Louis Eug•Ŕ_ne F•Ŕ_lix N•Ŕ_el•Ŕ_
Medicine,Julius Axelrod•Ŕ_
Medicine,Sir Bernard Katz•Ŕ_
Medicine,Ulf von Euler•Ŕ_
The Nobel Peace Prize,Norman E. Borlaug•Ŕ_
Chemistry,Gerhard Herzberg•Ŕ_
Economic Sciences,Simon Kuznets•Ŕ_
Literature,Pablo Neruda•Ŕ_
Physics,Dennis Gabor•Ŕ_
Medicine,Earl W. Sutherland Jr.•Ŕ_
The Nobel Peace Prize,Willy Brandt•Ŕ_
Chemistry,Christian B. Anfinsen•Ŕ_
Chemistry,Stanford Moore•Ŕ_
Chemistry,William H. Stein•Ŕ_
Economic Sciences,John R. Hicks•Ŕ_
Economic Sciences,Kenneth J. Arrow•Ŕ_
Literature,Heinrich B•Ŕ_ll•Ŕ_
Physics,John Bardeen•Ŕ_
Physics,John Robert Schrieffer•Ŕ_
Physics,Leon Neil Cooper•Ŕ_
Medicine,Gerald M. Edelman•Ŕ_
Medicine,Rodney R. Porter•Ŕ_
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money for 1972 was allocated to the Main Fund.
