source-player,target-birthplace
Robbie Keane,Dublin Ireland
Anders Svensson,Elfsborg Sweden
Joseba Etxeberria,ElgobarSpain
Ivan Hurtado,EsmeraldasEcuador
Fernando Couto,EspinhoPortugal
Martin Laursen,Farvoug Denmark
Hernan Crespo,FloridaArgentina
Sebastian Kehl,Fulda Germany
Cristiano Ronaldo,Funchal MadeiraPortugal
Jurgen Klinsmann,Gppingen Germany
Roberto Carlos,Garca Brazil
Enrico Chiesa,GenoaItaly
Barry Ferguson,GlasgowScotland
Lukas Podolski,Gleiwitz Poland
Sergei Rebrov,GorlovkaUkraine
Florent Malouda,Guyane France
Christoph Metzelder,Haltern Germany
Ivan Klasnic,Hamburg Germany
Fabian Ernst,Hanovre Germany
Wilfred Bouma,Helmond Holland
Georgios Samaras,Heraklion Greece
Nick Barmby,HullEngland
Alex Aguinaga,IbarraEcuador
Kieron Dyer,IpswichEngland
Emre Belozoglu,IstanbulTurkey
Michel Platini,Joeuf France
Steven Pienaar,Johannesbourgh South Africa
Lucas Radebe,JohannesburgSouth Africa
Benedict McCarthy,Kaapstad South africa
Oliver Kahn,Karlsruhe Germany
Salif Diao,KendougouSenegal
Kiki Musampa,Kinshasa DR Congo
Joseph Yobo,Kono Nigeria
Samuel Kuffour,Kumasi Ghana
John Carew,LrenskogNorway
Juan Sebastian Veron,La Plata Argentina
Obafemi Martins,Lagos Nigeria
Jari Litmanen,Lahti Finland
Brad Friedel,Lakewood OhioUnited States
David Villa,Langreo Spain
Stephane Chapuisat,Lausanne Switzerland
Emile Heskey,LeicesterEngland
Thierry Henry,Les UlisFrance
David Beckham,LeytonstoneEngland
Savo Milosevic,LeytonstoneEngland
Steve Finnan,Limerick Ireland
Ricardo Quaresma,Lisbon Portugal
Maniche,Lisbon Portugal
Nuno Valente,Lisbon Portugal
Jamie Carragher,Liverpool England
Wayne Rooney,LiverpoolEngland
Claudio Reyna,Livingston New JerseyUnited States
Carles Puyol,Lleida Spain
Oliver Neuville,Locarno Switzerland
Lee Bowyer,LondonEngland
Shaun Wright Phillips,Londres England
Giovane Elber,Londrina-PRBrazil
Jose Luis Chilavert,LuqueParaguay
Bruno N'Gotty,Lyon France
Mark Van Bommel,Maasbracht Netherlands
Peter Crouch,Macclesfield England
Fernando Torres,Madrid Spain
Raul Gonzalez,MadridSpain
Santiago Caizares,MadridSpain
Jan Kromkamp,Makkinga Holland
Zlatan Ibrahimovic,MalmSweden
Gerald Asamoah,Mampong Ghana
Roberto Baronio,ManerbioItaly
Umit Davala,Mannheim Germany
Zlatko Zahovic,MariborSlovenia
Zinedine Zidane,MarseilleFrance
Juan Pablo Angel,MedelinColombia
Mark Viduka,Melbourne Australia
Cuauhtemoc Blanco,Mexico CityMexico
Jonathan Woodgate,MiddlesbroughEngland
Sebastian Abreu,MinasUruguay
Stewart Downing,Moddlesbrough England
Paolo Montero,Montevideo Uruguay
Alvaro Recoba,MontevideoUruguay
Fabian Carini,MontevideoUruguay
Diego Forlan,MontevideoUruguay
Ricardo Pereira,Montijo Portugal
Pier Luigi Casiraghi,MonzaItaly
Thomas Hitzlsperger,Munich Germany
Markus Babbel,MunichGermany
Abel Xavier,NampulaMozambique
Fabio Cannavaro,NapoliItaly
Tim Borowski,Neubrandenburg Germany
Sylvain Wiltord,Neuilly-sur-Marne
Sol Campbell,NewhamEngland
Rigobert Song,Nkanglicock Cameroon
Samuel Eto'o,NkonCameroon
Danny Mills,Norwich England
Kevin Kuranyi,Rio of Janeiro Brazil
Daniele De Rossi,Roma Italy
Marco Di Vaio,RomaItaly
Francesco Totti,Rome Italy
Alessandro Nesta,Rome Italy
Frank Lampard,Romford England
Jon Dahl Tomasson,Roskilde Denmark
Giovanni Van Bronckhorst,Rotterdam  Netherlands
David Trezeguet,Rouen France
Luizao,RubineiaBrazil
Jerzy Dudek,Rybnik Poland
Deco,So Bernardo do CampoBrazil
Robinho,So VicenteBrazil
Bobby Robson,SacristonEngland
Nigel Martyn,Saint-Austell England
Harry Kewell,Sydney Australia
Cosmin Contra,Timisoara  Romania
Anders Andersson,TomelillaSweden
Sven Goran Eriksson,Torsby Swden
Dario Silva,Treinta y Tres Uruguay
Ernesto Farias,Trenque LauquenArgentina
Wesley Sneijder,Utrecht Holland
Marco Van Basten,Utrecht Holland
Milan Baros,Valassake MeziriciCzech Republic
Vicente,Valencia Spain
Dmitry Alenichev,Velike LukiRussia
Nicolas Anelka,VersaillesFrance
Mauro Rosales,Villa MaraArgentina
Angelo Peruzzi,Viterbo Italy
Edwin Van der Sar,Voorhout Holland
Martin Petrov,Vratza Bulgaria
Michael Carrick,Wallsend England
Emmanuel Olisadebe,Warri Nigria
Gareth Southgate,WatfordEngland
Ian Wright,WoolwichEngland
Hidetoshi Nakata,Yamanashi Japan
Shunsuke Nakamura,Yokohama Japan
Dado Prso,Zadar Croatia
Dario Simic,Zagreb Croatia
Rafael Marquez,Zamora Mexico
