source-Year,target-Laureate
1939,Adolf Friedrich Johann ButenandtÊ
1939,Leopold RuzickaÊ
1939,Frans Eemil SillanpÊ
1939,Ernest Orlando LawrenceÊ
1939,Gerhard DomagkÊ
1939,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
1940,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
1940,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
1940,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
1940,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
1940,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
1941,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
1941,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
1941,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
1941,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
1941,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
1942,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
1942,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
1942,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
1942,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
1942,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
1943,George de HevesyÊ
1943,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
1943,Otto SternÊ
1943,Edward Adelbert DoisyÊ
1943,Henrik Carl Peter DamÊ
1943,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
1944,Otto HahnÊ
1944,Johannes Vilhelm JensenÊ
1944,Isidor Isaac RabiÊ
1944,Herbert Spencer GasserÊ
1944,Joseph ErlangerÊ
1944,Comit international de la Croix Rouge (International Committee of the Red Cross)Ê
1945,Artturi Ilmari VirtanenÊ
1945,Gabriela MistralÊ
1945,Wolfgang PauliÊ
1945,Ernst Boris ChainÊ
1945,Sir Alexander FlemingÊ
1945,Sir Howard Walter FloreyÊ
1945,Cordell HullÊ
1946,James Batcheller SumnerÊ
1946,John Howard NorthropÊ
1946,Wendell Meredith StanleyÊ
1946,Hermann HesseÊ
1946,Percy Williams BridgmanÊ
1946,Hermann Joseph MullerÊ
1946,Emily Greene BalchÊ
1946,John Raleigh MottÊ
1947,Sir Robert RobinsonÊ
1947,Andr Paul Guillaume GideÊ
1947,Sir Edward Victor AppletonÊ
1947,Bernardo Alberto HoussayÊ
1947,Carl Ferdinand CoriÊ
1947,Gerty Theresa Cori ne RadnitzÊ
1947,American Friends Service Committee (The Quakers)Ê
1947,Friends Service Council (The Quakers)Ê
1948,Arne Wilhelm Kaurin TiseliusÊ
1948,Thomas Stearns EliotÊ
1948,Patrick Maynard Stuart BlackettÊ
1948,Paul Hermann MllerÊ
1948,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
1949,William Francis GiauqueÊ
1949,William FaulknerÊ
1949,Hideki YukawaÊ
1949,Antonio Caetano de Abreu Freire Egas MonizÊ
1949,Walter Rudolf HessÊ
1949,Lord (John) Boyd Orr of BrechinÊ
1950,Kurt AlderÊ
1950,Otto Paul Hermann DielsÊ
1950,Earl (Bertrand Arthur William) RussellÊ
1950,Cecil Frank PowellÊ
1950,Edward Calvin KendallÊ
1950,Philip Showalter HenchÊ
1950,Tadeus ReichsteinÊ
1950,Ralph BuncheÊ
1951,Edwin Mattison McMillanÊ
1951,Glenn Theodore SeaborgÊ
1951,Pr Fabian LagerkvistÊ
1951,Ernest Thomas Sinton WaltonÊ
1951,Sir John Douglas CockcroftÊ
1951,Max TheilerÊ
1951,Lon JouhauxÊ
1952,Archer John Porter MartinÊ
1952,Richard Laurence Millington SyngeÊ
1952,Franois MauriacÊ
1952,Edward Mills PurcellÊ
1952,Felix BlochÊ
1952,Selman Abraham WaksmanÊ
1952,Albert SchweitzerÊ
1953,Hermann StaudingerÊ
1953,Sir Winston Leonard Spencer ChurchillÊ
1953,Frits ZernikeÊ
1953,Fritz Albert LipmannÊ
1953,Hans Adolf KrebsÊ
1953,George Catlett MarshallÊ
1954,Linus Carl PaulingÊ
1954,Ernest Miller HemingwayÊ
1954,Max BornÊ
1954,Walther BotheÊ
1954,Frederick Chapman RobbinsÊ
1954,John Franklin EndersÊ
1954,Thomas Huckle WellerÊ
1954,Office of the United Nations High Commissioner for Refugees (UNHCR)Ê
1955,Vincent du VigneaudÊ
1955,Halldr Kiljan LaxnessÊ
1955,Polykarp KuschÊ
1955,Willis Eugene LambÊ
1955,Axel Hugo Theodor TheorellÊ
1955,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
1956,Nikolay Nikolaevich SemenovÊ
1956,Sir Cyril Norman HinshelwoodÊ
1956,Juan Ramn JimnezÊ
1956,John BardeenÊ
1956,Walter Houser BrattainÊ
1956,William Bradford ShockleyÊ
1956,Andr Frdric CournandÊ
1956,Dickinson W. RichardsÊ
1956,Werner ForssmannÊ
1956,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
1957,Lord (Alexander R.) ToddÊ
1957,Albert CamusÊ
1957,Chen Ning YangÊ
1957,Tsung-Dao (T.D.) LeeÊ
1957,Daniel BovetÊ
1957,Lester Bowles PearsonÊ
1958,Frederick SangerÊ
1958,Boris Leonidovich PasternakÊ
1958,Igor Yevgenyevich TammÊ
1958,Il«ja Mikhailovich FrankÊ
1958,Pavel Alekseyevich CherenkovÊ
1958,Edward Lawrie TatumÊ
1958,George Wells BeadleÊ
1958,Joshua LederbergÊ
1958,Georges PireÊ
1959,Jaroslav HeyrovskyÊ
1959,Salvatore QuasimodoÊ
1959,Emilio Gino SegrÊ
1959,Owen ChamberlainÊ
1959,Arthur KornbergÊ
1959,Severo OchoaÊ
1959,Philip J. Noel-BakerÊ
1960,Willard Frank LibbyÊ
1960,Saint-John PerseÊ
1960,Donald Arthur GlaserÊ
1960,Peter Brian MedawarÊ
1960,Sir Frank Macfarlane BurnetÊ
1960,Albert John LutuliÊ
1961,Melvin CalvinÊ
1961,Ivo AndricÊ
1961,Robert HofstadterÊ
1961,Rudolf Ludwig MssbauerÊ
1961,Georg von BksyÊ
1961,Dag Hjalmar Agne Carl HammarskjldÊ
1962,John Cowdery KendrewÊ
1962,Max Ferdinand PerutzÊ
1962,John SteinbeckÊ
1962,Lev Davidovich LandauÊ
1962,Francis Harry Compton CrickÊ
1962,James Dewey WatsonÊ
1962,Maurice Hugh Frederick WilkinsÊ
1962,Linus Carl PaulingÊ
1963,Giulio NattaÊ
1963,Karl ZieglerÊ
1963,Giorgos SeferisÊ
1963,Eugene Paul WignerÊ
1963,J. Hans D. JensenÊ
1963,Maria Goeppert MayerÊ
1963,Alan Lloyd HodgkinÊ
1963,Andrew Fielding HuxleyÊ
1963,Sir John Carew EcclesÊ
1963,Comit international de la Croix Rouge (International Committee of the Red Cross)Ê
1963,Ligue des Socits de la Croix-Rouge (League of Red Cross Societies)Ê
1964,Dorothy Crowfoot HodgkinÊ
1964,Jean-Paul SartreÊ
1964,Aleksandr Mikhailovich ProkhorovÊ
1964,Charles Hard TownesÊ
1964,Nicolay Gennadiyevich BasovÊ
1964,Feodor LynenÊ
1964,Konrad BlochÊ
1964,Martin Luther King Jr.Ê
1965,Robert Burns WoodwardÊ
1965,Mikhail Aleksandrovich SholokhovÊ
1965,Julian SchwingerÊ
1965,Richard P. FeynmanÊ
1965,Sin-Itiro TomonagaÊ
1965,Andr LwoffÊ
1965,Franois JacobÊ
1965,Jacques MonodÊ
1965,United Nations Children's Fund (UNICEF)Ê
1966,Robert S. MullikenÊ
1966,Nelly SachsÊ
1966,Shmuel Yosef AgnonÊ
1966,Alfred KastlerÊ
1966,Charles Brenton HugginsÊ
1966,Peyton RousÊ
1966,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
1967,George PorterÊ
1967,Manfred EigenÊ
1967,Ronald George Wreyford NorrishÊ
1967,Miguel Angel AsturiasÊ
1967,Hans Albrecht BetheÊ
1967,George WaldÊ
1967,Haldan Keffer HartlineÊ
1967,Ragnar GranitÊ
1967,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
1968,Lars OnsagerÊ
1968,Yasunari KawabataÊ
1968,Luis Walter AlvarezÊ
1968,Har Gobind KhoranaÊ
1968,Marshall W. NirenbergÊ
1968,Robert W. HolleyÊ
1968,Ren CassinÊ
1969,Derek H. R. BartonÊ
1969,Odd HasselÊ
1969,Jan TinbergenÊ
1969,Ragnar FrischÊ
1969,Samuel BeckettÊ
1969,Murray Gell-MannÊ
1969,Alfred D. HersheyÊ
1969,Max DelbrckÊ
1969,Salvador E. LuriaÊ
1969,International Labour Organization (I.L.O.)Ê
1970,Luis F. LeloirÊ
1970,Paul A. SamuelsonÊ
1970,Aleksandr Isayevich SolzhenitsynÊ
1970,Hannes Olof Gsta AlfvnÊ
1970,Louis Eugne Flix NelÊ
1970,Julius AxelrodÊ
1970,Sir Bernard KatzÊ
1970,Ulf von EulerÊ
1970,Norman E. BorlaugÊ
1971,Gerhard HerzbergÊ
1971,Simon KuznetsÊ
1971,Pablo NerudaÊ
1971,Dennis GaborÊ
1971,Earl W. Sutherland Jr.Ê
1971,Willy BrandtÊ
1972,Christian B. AnfinsenÊ
1972,Stanford MooreÊ
1972,William H. SteinÊ
1972,John R. HicksÊ
1972,Kenneth J. ArrowÊ
1972,Heinrich BllÊ
1972,John BardeenÊ
1972,John Robert SchriefferÊ
1972,Leon Neil CooperÊ
1972,Gerald M. EdelmanÊ
1972,Rodney R. PorterÊ
1972,No Nobel Prize was awarded this year. The prize money for 1972 was allocated to the Main Fund.
1973,Ernst Otto FischerÊ
1973,Geoffrey WilkinsonÊ
1973,Wassily LeontiefÊ
1973,Patrick WhiteÊ
1973,Brian David JosephsonÊ
1973,Ivar GiaeverÊ
1973,Leo EsakiÊ
1973,Karl von FrischÊ
1973,Konrad LorenzÊ
1973,Nikolaas TinbergenÊ
1973,Henry A. KissingerÊ
1973,Le Duc ThoÊ
1974,Paul J. FloryÊ
1974,Friedrich August von HayekÊ
1974,Gunnar MyrdalÊ
1974,Eyvind JohnsonÊ
1974,Harry MartinsonÊ
1974,Antony HewishÊ
1974,Sir Martin RyleÊ
1974,Albert ClaudeÊ
1974,Christian de DuveÊ
1974,George E. PaladeÊ
1974,Eisaku SatoÊ
1974,Sen MacBrideÊ
1975,John Warcup CornforthÊ
1975,Vladimir PrelogÊ
1975,Leonid Vitaliyevich KantorovichÊ
1975,Tjalling C. KoopmansÊ
1975,Eugenio MontaleÊ
1975,Aage Niels BohrÊ
1975,Ben Roy MottelsonÊ
1975,Leo James RainwaterÊ
1975,David BaltimoreÊ
1975,Howard Martin TeminÊ
1975,Renato DulbeccoÊ
1975,Andrei Dmitrievich SakharovÊ
1976,William N. LipscombÊ
1976,Milton FriedmanÊ
1976,Saul BellowÊ
1976,Burton RichterÊ
1976,Samuel Chao Chung TingÊ
1976,Baruch S. BlumbergÊ
1976,D. Carleton GajdusekÊ
1976,Betty WilliamsÊ
1976,Mairead CorriganÊ
1977,Ilya PrigogineÊ
1977,Bertil OhlinÊ
1977,James E. MeadeÊ
1977,Vicente AleixandreÊ
1977,John Hasbrouck van VleckÊ
1977,Philip Warren AndersonÊ
1977,Sir Nevill Francis MottÊ
1977,Andrew V. SchallyÊ
1977,Roger GuilleminÊ
1977,Rosalyn YalowÊ
1977,Amnesty InternationalÊ
1978,Peter D. MitchellÊ
1978,Herbert A. SimonÊ
1978,Isaac Bashevis SingerÊ
1978,Arno Allan PenziasÊ
1978,Pyotr Leonidovich KapitsaÊ
1978,Robert Woodrow WilsonÊ
1978,Daniel NathansÊ
1978,Hamilton O. SmithÊ
1978,Werner ArberÊ
1978,Menachem BeginÊ
1978,Mohamed Anwar al-SadatÊ
1979,Georg WittigÊ
1979,Herbert C. BrownÊ
1979,Sir Arthur LewisÊ
1979,Theodore W. SchultzÊ
1979,Odysseus ElytisÊ
1979,Abdus SalamÊ
1979,Sheldon Lee GlashowÊ
1979,Steven WeinbergÊ
1979,Allan M. CormackÊ
1979,Godfrey N. HounsfieldÊ
1979,Mother TeresaÊ
1980,Frederick SangerÊ
1980,Paul BergÊ
1980,Walter GilbertÊ
1980,Lawrence R. KleinÊ
1980,Czeslaw MiloszÊ
1980,James Watson CroninÊ
1980,Val Logsdon FitchÊ
1980,Baruj BenacerrafÊ
1980,George D. SnellÊ
1980,Jean DaussetÊ
1980,Adolfo Prez EsquivelÊ
1981,Kenichi FukuiÊ
1981,Roald HoffmannÊ
1981,James TobinÊ
1981,Elias CanettiÊ
1981,Arthur Leonard SchawlowÊ
1981,Kai M. SiegbahnÊ
1981,Nicolaas BloembergenÊ
1981,David H. HubelÊ
1981,Roger W. SperryÊ
1981,Torsten N. WieselÊ
1981,Office of the United Nations High Commissioner for Refugees (UNHCR)Ê
1982,Aaron KlugÊ
1982,George J. StiglerÊ
1982,Gabriel Garca MrquezÊ
1982,Kenneth G. WilsonÊ
1982,Bengt I. SamuelssonÊ
1982,John R. VaneÊ
1982,Sune K. BergstrmÊ
1982,Alfonso Garca RoblesÊ
1982,Alva MyrdalÊ
1983,Henry TaubeÊ
1983,Gerard DebreuÊ
1983,William GoldingÊ
1983,Subramanyan ChandrasekharÊ
1983,William Alfred FowlerÊ
1983,Barbara McClintockÊ
1983,Lech WalesaÊ
1984,Robert Bruce MerrifieldÊ
1984,Richard StoneÊ
1984,Jaroslav SeifertÊ
1984,Carlo RubbiaÊ
1984,Simon van der MeerÊ
1984,Csar MilsteinÊ
1984,Georges J.F. KhlerÊ
1984,Niels K. JerneÊ
1984,Desmond Mpilo TutuÊ
1985,Herbert A. HauptmanÊ
1985,Jerome KarleÊ
1985,Franco ModiglianiÊ
1985,Claude SimonÊ
1985,Klaus von KlitzingÊ
1985,Joseph L. GoldsteinÊ
1985,Michael S. BrownÊ
1985,International Physicians for the Prevention of Nuclear WarÊ
1986,Dudley R. HerschbachÊ
1986,John C. PolanyiÊ
1986,Yuan T. LeeÊ
1986,James M. Buchanan Jr.Ê
1986,Wole SoyinkaÊ
1986,Ernst RuskaÊ
1986,Gerd BinnigÊ
1986,Heinrich RohrerÊ
1986,Rita Levi-MontalciniÊ
1986,Stanley CohenÊ
1986,Elie WieselÊ
1987,Charles J. PedersenÊ
1987,Donald J. CramÊ
1987,Jean-Marie LehnÊ
1987,Robert M. SolowÊ
1987,Joseph BrodskyÊ
1987,J. Georg BednorzÊ
1987,K. Alexander MllerÊ
1987,Susumu TonegawaÊ
1987,Oscar Arias SnchezÊ
1988,Hartmut MichelÊ
1988,Johann DeisenhoferÊ
1988,Robert HuberÊ
1988,Maurice AllaisÊ
1988,Naguib MahfouzÊ
1988,Jack SteinbergerÊ
1988,Leon M. LedermanÊ
1988,Melvin SchwartzÊ
1988,George H. HitchingsÊ
1988,Gertrude B. ElionÊ
1988,Sir James W. BlackÊ
1988,United Nations Peacekeeping ForcesÊ
1989,Sidney AltmanÊ
1989,Thomas R. CechÊ
1989,Trygve HaavelmoÊ
1989,Camilo Jos CelaÊ
1989,Hans G. DehmeltÊ
1989,Norman F. RamseyÊ
1989,Wolfgang PaulÊ
1989,Harold E. VarmusÊ
1989,J. Michael BishopÊ
1989,The 14th Dalai Lama (Tenzin Gyatso)Ê
1990,Elias James CoreyÊ
1990,Harry M. MarkowitzÊ
1990,Merton H. MillerÊ
1990,William F. SharpeÊ
1990,Octavio PazÊ
1990,Henry W. KendallÊ
1990,Jerome I. FriedmanÊ
1990,Richard E. TaylorÊ
1990,E. Donnall ThomasÊ
1990,Joseph E. MurrayÊ
1990,Mikhail Sergeyevich GorbachevÊ
1991,Richard R. ErnstÊ
1991,Ronald H. CoaseÊ
1991,Nadine GordimerÊ
1991,Pierre-Gilles de GennesÊ
1991,Bert SakmannÊ
1991,Erwin NeherÊ
1991,Aung San Suu KyiÊ
1992,Rudolph A. MarcusÊ
1992,Gary S. BeckerÊ
1992,Derek WalcottÊ
1992,Georges CharpakÊ
1992,Edmond H. FischerÊ
1992,Edwin G. KrebsÊ
1992,Rigoberta Mench TumÊ
1993,Kary B. MullisÊ
1993,Michael SmithÊ
1993,Douglass C. NorthÊ
1993,Robert W. FogelÊ
1993,Toni MorrisonÊ
1993,Joseph H. Taylor Jr.Ê
1993,Russell A. HulseÊ
1993,Phillip A. SharpÊ
1993,Richard J. RobertsÊ
1993,Frederik Willem de KlerkÊ
1993,Nelson MandelaÊ
1994,George A. OlahÊ
1994,John C. HarsanyiÊ
1994,John F. Nash Jr.Ê
1994,Reinhard SeltenÊ
1994,Kenzaburo OeÊ
1994,Bertram N. BrockhouseÊ
1994,Clifford G. ShullÊ
1994,Alfred G. GilmanÊ
1994,Martin RodbellÊ
1994,Shimon PeresÊ
1994,Yasser ArafatÊ
1994,Yitzhak RabinÊ
1995,F. Sherwood RowlandÊ
1995,Mario J. MolinaÊ
1995,Paul J. CrutzenÊ
1995,Robert E. Lucas Jr.Ê
1995,Seamus HeaneyÊ
1995,Frederick ReinesÊ
1995,Martin L. PerlÊ
1995,Christiane Nsslein-VolhardÊ
1995,Edward B. LewisÊ
